fecha_xm,periodo,precio_cop_kwh
2023-08-01,1,322.00712
2023-08-01,2,322.00712
2023-08-01,3,322.00712
2023-08-01,4,322.00712
2023-08-01,5,322.00712
2023-08-01,6,406.70712
2023-08-01,7,406.70712
2023-08-01,8,406.70712
2023-08-01,9,596.70712
2023-08-01,10,596.70712
2023-08-01,11,656.70712
2023-08-01,12,656.70712
2023-08-01,13,656.70712
2023-08-01,14,676.70712
2023-08-01,15,676.70712
2023-08-01,16,671.70712
2023-08-01,17,671.70712
2023-08-01,18,646.70712
2023-08-01,19,676.70712
2023-08-01,20,696.70712
2023-08-01,21,736.70712
2023-08-01,22,656.70712
2023-08-01,23,596.70712
2023-08-01,24,406.70712
2023-08-02,1,408.63258
2023-08-02,2,408.63258
2023-08-02,3,408.63258
2023-08-02,4,408.63258
2023-08-02,5,408.63258
2023-08-02,6,476.29058
2023-08-02,7,476.63258
2023-08-02,8,476.63258
2023-08-02,9,476.63258
2023-08-02,10,476.63258
2023-08-02,11,603.63258
2023-08-02,12,648.63258
2023-08-02,13,648.63258
2023-08-02,14,653.63258
2023-08-02,15,653.63258
2023-08-02,16,673.63258
2023-08-02,17,653.63258
2023-08-02,18,648.63258
2023-08-02,19,653.63258
2023-08-02,20,702.63258
2023-08-02,21,673.63258
2023-08-02,22,648.63258
2023-08-02,23,476.63258
2023-08-02,24,476.63258
2023-08-03,1,320.21756
2023-08-03,2,320.21756
2023-08-03,3,320.21756
2023-08-03,4,320.21756
2023-08-03,5,320.21756
2023-08-03,6,427.29856
2023-08-03,7,427.29856
2023-08-03,8,427.29856
2023-08-03,9,485.91756
2023-08-03,10,485.91756
2023-08-03,11,485.91756
2023-08-03,12,485.91756
2023-08-03,13,485.91756
2023-08-03,14,485.91756
2023-08-03,15,644.91756
2023-08-03,16,676.91756
2023-08-03,17,644.91756
2023-08-03,18,644.91756
2023-08-03,19,644.91756
2023-08-03,20,698.91756
2023-08-03,21,676.91756
2023-08-03,22,644.91756
2023-08-03,23,485.91756
2023-08-03,24,485.91756
2023-08-04,1,404.23048
2023-08-04,2,403.23048
2023-08-04,3,403.23048
2023-08-04,4,403.23048
2023-08-04,5,403.23048
2023-08-04,6,404.23048
2023-08-04,7,404.23048
2023-08-04,8,466.23048
2023-08-04,9,524.73048
2023-08-04,10,524.73048
2023-08-04,11,524.73048
2023-08-04,12,524.73048
2023-08-04,13,524.73048
2023-08-04,14,597.23048
2023-08-04,15,718.23048
2023-08-04,16,718.23048
2023-08-04,17,597.23048
2023-08-04,18,524.73048
2023-08-04,19,718.23048
2023-08-04,20,733.23048
2023-08-04,21,718.23048
2023-08-04,22,524.73048
2023-08-04,23,524.73048
2023-08-04,24,524.73048
2023-08-05,1,465.15788
2023-08-05,2,465.15788
2023-08-05,3,433.15788
2023-08-05,4,433.15788
2023-08-05,5,382.18088
2023-08-05,6,408.03988
2023-08-05,7,433.15788
2023-08-05,8,433.15788
2023-08-05,9,433.15788
2023-08-05,10,433.15788
2023-08-05,11,465.15788
2023-08-05,12,465.15788
2023-08-05,13,465.15788
2023-08-05,14,465.15788
2023-08-05,15,465.15788
2023-08-05,16,465.15788
2023-08-05,17,465.15788
2023-08-05,18,457.63888
2023-08-05,19,592.15788
2023-08-05,20,718.15788
2023-08-05,21,466.15788
2023-08-05,22,466.15788
2023-08-05,23,433.15788
2023-08-05,24,433.15788
2023-08-06,1,483.47956
2023-08-06,2,467.47956
2023-08-06,3,467.47956
2023-08-06,4,466.47956
2023-08-06,5,466.47956
2023-08-06,6,466.47956
2023-08-06,7,425.86056
2023-08-06,8,466.47956
2023-08-06,9,466.47956
2023-08-06,10,466.47956
2023-08-06,11,467.47956
2023-08-06,12,483.47956
2023-08-06,13,483.47956
2023-08-06,14,483.47956
2023-08-06,15,483.47956
2023-08-06,16,483.47956
2023-08-06,17,483.47956
2023-08-06,18,483.47956
2023-08-06,19,587.47956
2023-08-06,20,593.48556
2023-08-06,21,593.48556
2023-08-06,22,587.47956
2023-08-06,23,483.47956
2023-08-06,24,483.47956
2023-08-07,1,204.06105
2023-08-07,2,247.73305
2023-08-07,3,206.04105
2023-08-07,4,206.04105
2023-08-07,5,206.04105
2023-08-07,6,206.04105
